0 0
1.000000e-03 9.516221e-07 1.345798e-06
2.000000e-03 1.903242e-06 2.691599e-06
3.000000e-03 2.854856e-06 4.037404e-06
4.000000e-03 3.806458e-06 5.383213e-06
5.000000e-03 4.758045e-06 6.729025e-06
6.000000e-03 5.709612e-06 8.074842e-06
7.000000e-03 6.661155e-06 9.420661e-06
8.000000e-03 7.612669e-06 1.076649e-05
9.000000e-03 8.564149e-06 1.211231e-05
1.000000e-02 9.515592e-06 1.345814e-05
1.100000e-02 1.046699e-05 1.480398e-05
1.200000e-02 1.141835e-05 1.614982e-05
1.300000e-02 1.236965e-05 1.749566e-05
1.400000e-02 1.332089e-05 1.884151e-05
1.500000e-02 1.427208e-05 2.018736e-05
1.600000e-02 1.522320e-05 2.153322e-05
1.700000e-02 1.617425e-05 2.287908e-05
1.800000e-02 1.712523e-05 2.422495e-05
1.900000e-02 1.807613e-05 2.557082e-05
2.000000e-02 1.902695e-05 2.691669e-05
2.100000e-02 1.997768e-05 2.826257e-05
2.200000e-02 2.092832e-05 2.960845e-05
2.300000e-02 2.187887e-05 3.095434e-05
2.400000e-02 2.282931e-05 3.230023e-05
2.500000e-02 2.377965e-05 3.364613e-05
2.600000e-02 2.472988e-05 3.499203e-05
2.700000e-02 2.567999e-05 3.633794e-05
2.800000e-02 2.662999e-05 3.768385e-05
2.900000e-02 2.757987e-05 3.902977e-05
3.000000e-02 2.852961e-05 4.037569e-05
3.100000e-02 2.947923e-05 4.172162e-05
3.200000e-02 3.042871e-05 4.306755e-05
3.300000e-02 3.137805e-05 4.441349e-05
3.400000e-02 3.232725e-05 4.575944e-05
3.500000e-02 3.327630e-05 4.710538e-05
3.600000e-02 3.422519e-05 4.845134e-05
3.700000e-02 3.517393e-05 4.979730e-05
3.800000e-02 3.612250e-05 5.114326e-05
3.900000e-02 3.707091e-05 5.248923e-05
4.000000e-02 3.801915e-05 5.383521e-05
4.100000e-02 3.896721e-05 5.518119e-05
4.200000e-02 3.991509e-05 5.652718e-05
4.300000e-02 4.086279e-05 5.787317e-05
4.400000e-02 4.181030e-05 5.921917e-05
4.500000e-02 4.275762e-05 6.056518e-05
4.600000e-02 4.370474e-05 6.191119e-05
4.700000e-02 4.465166e-05 6.325721e-05
4.800000e-02 4.559837e-05 6.460323e-05
4.900000e-02 4.654487e-05 6.594926e-05
5.000000e-02 4.749116e-05 6.729529e-05
5.100000e-02 4.843723e-05 6.864134e-05
5.200000e-02 4.938308e-05 6.998738e-05
5.300000e-02 5.032870e-05 7.133344e-05
5.400000e-02 5.127409e-05 7.267950e-05
5.500000e-02 5.221924e-05 7.402557e-05
5.600000e-02 5.316415e-05 7.537164e-05
5.700000e-02 5.410882e-05 7.671772e-05
5.800000e-02 5.505324e-05 7.806381e-05
5.900000e-02 5.599741e-05 7.940990e-05
6.000000e-02 5.694132e-05 8.075600e-05
6.100000e-02 5.788497e-05 8.210211e-05
6.200000e-02 5.882835e-05 8.344822e-05
6.300000e-02 5.977146e-05 8.479434e-05
6.400000e-02 6.071430e-05 8.614047e-05
6.500000e-02 6.165687e-05 8.748661e-05
6.600000e-02 6.259915e-05 8.883275e-05
6.700000e-02 6.354114e-05 9.017890e-05
6.800000e-02 6.448284e-05 9.152505e-05
6.900000e-02 6.542425e-05 9.287121e-05
7.000000e-02 6.636536e-05 9.421739e-05
7.100000e-02 6.730616e-05 9.556356e-05
7.200000e-02 6.824666e-05 9.690975e-05
7.300000e-02 6.918685e-05 9.825594e-05
7.400000e-02 7.012672e-05 9.960214e-05
7.500000e-02 7.106627e-05 1.009483e-04
7.600000e-02 7.200550e-05 1.022946e-04
7.700000e-02 7.294440e-05 1.036408e-04
7.800000e-02 7.388297e-05 1.049870e-04
7.900000e-02 7.482120e-05 1.063333e-04
8.000000e-02 7.575910e-05 1.076795e-04
8.100000e-02 7.669665e-05 1.090258e-04
