0 0
1.000000e-02 6.343883e-05 8.972315e-05
2.000000e-02 1.268367e-04 1.794310e-04
3.000000e-02 1.901640e-04 2.691240e-04
4.000000e-02 2.533911e-04 3.588024e-04
5.000000e-02 3.164888e-04 4.484667e-04
6.000000e-02 3.794282e-04 5.381172e-04
7.000000e-02 4.421810e-04 6.277543e-04
8.000000e-02 5.047194e-04 7.173783e-04
9.000000e-02 5.670162e-04 8.069896e-04
1.000000e-01 6.290451e-04 8.965885e-04
1.100000e-01 6.907804e-04 9.861755e-04
1.200000e-01 7.521975e-04 1.075751e-03
1.300000e-01 8.132724e-04 1.165315e-03
1.400000e-01 8.739825e-04 1.254868e-03
1.500000e-01 9.343060e-04 1.344410e-03
1.600000e-01 9.942222e-04 1.433942e-03
1.700000e-01 1.053712e-03 1.523465e-03
1.800000e-01 1.112756e-03 1.612977e-03
1.900000e-01 1.171338e-03 1.702480e-03
2.000000e-01 1.229442e-03 1.791974e-03
2.100000e-01 1.287052e-03 1.881459e-03
2.200000e-01 1.344157e-03 1.970936e-03
2.300000e-01 1.400742e-03 2.060404e-03
2.400000e-01 1.456798e-03 2.149864e-03
2.500000e-01 1.512314e-03 2.239317e-03
2.600000e-01 1.567283e-03 2.328762e-03
2.700000e-01 1.621695e-03 2.418200e-03
2.800000e-01 1.675547e-03 2.507630e-03
2.900000e-01 1.728831e-03 2.597054e-03
3.000000e-01 1.781545e-03 2.686471e-03
3.100000e-01 1.833686e-03 2.775881e-03
3.200000e-01 1.885252e-03 2.865285e-03
3.300000e-01 1.936241e-03 2.954682e-03
3.400000e-01 1.986655e-03 3.044074e-03
3.500000e-01 2.036495e-03 3.133459e-03
3.600000e-01 2.085763e-03 3.222839e-03
3.700000e-01 2.134461e-03 3.312213e-03
3.800000e-01 2.182593e-03 3.401581e-03
3.900000e-01 2.230165e-03 3.490943e-03
4.000000e-01 2.277181e-03 3.580300e-03
4.100000e-01 2.323647e-03 3.669651e-03
4.200000e-01 2.369570e-03 3.758996e-03
4.300000e-01 2.414958e-03 3.848336e-03
4.400000e-01 2.459817e-03 3.937670e-03
4.500000e-01 2.504157e-03 4.026998e-03
4.600000e-01 2.547986e-03 4.116321e-03
4.700000e-01 2.591313e-03 4.205637e-03
4.800000e-01 2.634148e-03 4.294948e-03
4.900000e-01 2.676501e-03 4.384253e-03
5.000000e-01 2.718383e-03 4.473552e-03
5.100000e-01 2.759803e-03 4.562844e-03
5.200000e-01 2.800774e-03 4.652130e-03
5.300000e-01 2.841306e-03 4.741409e-03
5.400000e-01 2.881410e-03 4.830682e-03
5.500000e-01 2.921098e-03 4.919947e-03
5.600000e-01 2.960382e-03 5.009205e-03
5.700000e-01 2.999274e-03 5.098456e-03
5.800000e-01 3.037785e-03 5.187699e-03
5.900000e-01 3.075928e-03 5.276933e-03
6.000000e-01 3.113715e-03 5.366160e-03
6.100000e-01 3.151158e-03 5.455378e-03
6.200000e-01 3.188269e-03 5.544586e-03
6.300000e-01 3.225060e-03 5.633786e-03
6.400000e-01 3.261544e-03 5.722975e-03
6.500000e-01 3.297733e-03 5.812155e-03
6.600000e-01 3.333639e-03 5.901324e-03
6.700000e-01 3.369274e-03 5.990482e-03
6.800000e-01 3.404651e-03 6.079628e-03
6.900000e-01 3.439781e-03 6.168763e-03
7.000000e-01 3.474676e-03 6.257885e-03
7.100000e-01 3.509349e-03 6.346995e-03
7.200000e-01 3.543811e-03 6.436091e-03
7.300000e-01 3.578074e-03 6.525174e-03
7.400000e-01 3.612150e-03 6.614242e-03
7.500000e-01 3.646050e-03 6.703295e-03
7.600000e-01 3.679787e-03 6.792333e-03
7.700000e-01 3.713370e-03 6.881354e-03
7.800000e-01 3.746813e-03 6.970359e-03
7.900000e-01 3.780125e-03 7.059347e-03
8.000000e-01 3.813319e-03 7.148317e-03
8.100000e-01 3.846404e-03 7.237269e-03
8.200000e-01 3.879393e-03 7.326201e-03
8.300000e-01 3.912296e-03 7.415113e-03
8.400000e-01 3.945124e-03 7.504005e-03
8.500000e-01 3.977887e-03 7.592876e-03
8.600000e-01 4.010596e-03 7.681725e-03
8.700000e-01 4.043261e-03 7.770551e-03
8.800000e-01 4.075894e-03 7.859354e-03
8.900000e-01 4.108504e-03 7.948134e-03
9.000000e-01 4.141101e-03 8.036888e-03
9.100000e-01 4.173696e-03 8.125617e-03
9.200000e-01 4.206298e-03 8.214319e-03
9.300000e-01 4.238918e-03 8.302995e-03
9.400000e-01 4.271566e-03 8.391643e-03
9.500000e-01 4.304251e-03 8.480262e-03
9.600000e-01 4.336983e-03 8.568852e-03
9.700000e-01 4.369772e-03 8.657411e-03
9.800000e-01 4.402627e-03 8.745940e-03
9.900000e-01 4.435559e-03 8.834437e-03
1.000000e+00 4.468576e-03 8.922902e-03
1.010000e+00 4.501689e-03 9.011333e-03
1.020000e+00 4.534906e-03 9.099730e-03
1.030000e+00 4.568237e-03 9.188092e-03
1.040000e+00 4.601692e-03 9.276418e-03
1.050000e+00 4.635280e-03 9.364708e-03
1.060000e+00 4.669010e-03 9.452960e-03
1.070000e+00 4.702891e-03 9.541174e-03
1.080000e+00 4.736934e-03 9.629349e-03
1.090000e+00 4.771147e-03 9.717483e-03
1.100000e+00 4.805539e-03 9.805578e-03
1.110000e+00 4.840120e-03 9.893630e-03
1.120000e+00 4.874899e-03 9.981640e-03
1.130000e+00 4.909886e-03 1.006961e-02
1.140000e+00 4.945089e-03 1.015753e-02
1.150000e+00 4.980519e-03 1.024541e-02
1.160000e+00 5.016184e-03 1.033324e-02
1.170000e+00 5.052094e-03 1.042103e-02
1.180000e+00 5.088259e-03 1.050877e-02
1.190000e+00 5.124687e-03 1.059646e-02
1.200000e+00 5.161389e-03 1.068410e-02
1.210000e+00 5.198374e-03 1.077169e-02
1.220000e+00 5.235652e-03 1.085924e-02
1.230000e+00 5.273232e-03 1.094673e-02
1.240000e+00 5.311124e-03 1.103417e-02
1.250000e+00 5.349338e-03 1.112155e-02
1.260000e+00 5.387884e-03 1.120889e-02
1.270000e+00 5.426772e-03 1.129617e-02
1.280000e+00 5.466012e-03 1.138339e-02
1.290000e+00 5.505614e-03 1.147057e-02
1.300000e+00 5.545589e-03 1.155768e-02
1.310000e+00 5.585946e-03 1.164474e-02
1.320000e+00 5.626697e-03 1.173174e-02
1.330000e+00 5.667851e-03 1.181868e-02
1.340000e+00 5.709420e-03 1.190557e-02
1.350000e+00 5.751415e-03 1.199239e-02
1.360000e+00 5.793846e-03 1.207916e-02
1.370000e+00 5.836724e-03 1.216586e-02
1.380000e+00 5.880061e-03 1.225251e-02
1.390000e+00 5.923869e-03 1.233909e-02
1.400000e+00 5.968158e-03 1.242562e-02
1.410000e+00 6.012941e-03 1.251208e-02
1.420000e+00 6.058229e-03 1.259848e-02
1.430000e+00 6.104035e-03 1.268481e-02
1.440000e+00 6.150371e-03 1.277108e-02
1.450000e+00 6.197248e-03 1.285729e-02
1.460000e+00 6.244681e-03 1.294344e-02
1.470000e+00 6.292681e-03 1.302952e-02
1.480000e+00 6.341261e-03 1.311553e-02
1.490000e+00 6.390436e-03 1.320148e-02
1.500000e+00 6.440218e-03 1.328737e-02
1.510000e+00 6.490621e-03 1.337319e-02
1.520000e+00 6.541658e-03 1.345894e-02
1.530000e+00 6.593345e-03 1.354463e-02
1.540000e+00 6.645695e-03 1.363025e-02
1.550000e+00 6.698723e-03 1.371581e-02
1.560000e+00 6.752445e-03 1.380130e-02
1.570000e+00 6.806874e-03 1.388672e-02
1.580000e+00 6.862027e-03 1.397208e-02
1.590000e+00 6.917919e-03 1.405737e-02
1.600000e+00 6.974567e-03 1.414260e-02
1.610000e+00 7.031986e-03 1.422776e-02
1.620000e+00 7.090193e-03 1.431285e-02
1.630000e+00 7.149205e-03 1.439788e-02
1.640000e+00 7.209040e-03 1.448284e-02
1.650000e+00 7.269714e-03 1.456774e-02
1.660000e+00 7.331246e-03 1.465257e-02
1.670000e+00 7.393654e-03 1.473733e-02
1.680000e+00 7.456957e-03 1.482203e-02
1.690000e+00 7.521172e-03 1.490667e-02
1.700000e+00 7.586320e-03 1.499124e-02
1.710000e+00 7.652420e-03 1.507575e-02
1.720000e+00 7.719491e-03 1.516020e-02
1.730000e+00 7.787555e-03 1.524458e-02
1.740000e+00 7.856632e-03 1.532890e-02
1.750000e+00 7.926743e-03 1.541316e-02
1.760000e+00 7.997909e-03 1.549735e-02
1.770000e+00 8.070153e-03 1.558149e-02
1.780000e+00 8.143496e-03 1.566556e-02
1.790000e+00 8.217960e-03 1.574958e-02
1.800000e+00 8.293570e-03 1.583354e-02
1.810000e+00 8.370349e-03 1.591744e-02
1.820000e+00 8.448320e-03 1.600128e-02
1.830000e+00 8.527507e-03 1.608506e-02
1.840000e+00 8.607935e-03 1.616879e-02
1.850000e+00 8.689629e-03 1.625247e-02
1.860000e+00 8.772615e-03 1.633609e-02
1.870000e+00 8.856918e-03 1.641966e-02
1.880000e+00 8.942564e-03 1.650317e-02
1.890000e+00 9.029580e-03 1.658664e-02
1.900000e+00 9.117994e-03 1.667005e-02
1.910000e+00 9.207831e-03 1.675342e-02
1.920000e+00 9.299120e-03 1.683674e-02
1.930000e+00 9.391890e-03 1.692001e-02
1.940000e+00 9.486167e-03 1.700323e-02
1.950000e+00 9.581981e-03 1.708642e-02
1.960000e+00 9.679361e-03 1.716955e-02
1.970000e+00 9.778336e-03 1.725265e-02
1.980000e+00 9.878936e-03 1.733570e-02
1.990000e+00 9.981189e-03 1.741872e-02
2.000000e+00 1.008513e-02 1.750170e-02
2.010000e+00 1.019078e-02 1.758464e-02
2.020000e+00 1.029817e-02 1.766754e-02
2.030000e+00 1.040734e-02 1.775042e-02
2.040000e+00 1.051831e-02 1.783325e-02
2.050000e+00 1.063112e-02 1.791606e-02
2.060000e+00 1.074579e-02 1.799884e-02
2.070000e+00 1.086236e-02 1.808159e-02
2.080000e+00 1.098084e-02 1.816432e-02
2.090000e+00 1.110129e-02 1.824702e-02
2.100000e+00 1.122371e-02 1.832969e-02
2.110000e+00 1.134814e-02 1.841235e-02
2.120000e+00 1.147461e-02 1.849498e-02
2.130000e+00 1.160314e-02 1.857760e-02
2.140000e+00 1.173377e-02 1.866020e-02
2.150000e+00 1.186651e-02 1.874279e-02
2.160000e+00 1.200139e-02 1.882536e-02
2.170000e+00 1.213843e-02 1.890792e-02
2.180000e+00 1.227766e-02 1.899048e-02
2.190000e+00 1.241908e-02 1.907302e-02
2.200000e+00 1.256273e-02 1.915556e-02
2.210000e+00 1.270862e-02 1.923810e-02
2.220000e+00 1.285676e-02 1.932063e-02
2.230000e+00 1.300716e-02 1.940316e-02
2.240000e+00 1.315983e-02 1.948570e-02
2.250000e+00 1.331478e-02 1.956823e-02
2.260000e+00 1.347200e-02 1.965078e-02
2.270000e+00 1.363150e-02 1.973333e-02
2.280000e+00 1.379327e-02 1.981589e-02
2.290000e+00 1.395731e-02 1.989846e-02
2.300000e+00 1.412359e-02 1.998104e-02
2.310000e+00 1.429210e-02 2.006364e-02
2.320000e+00 1.446281e-02 2.014626e-02
2.330000e+00 1.463570e-02 2.022889e-02
2.340000e+00 1.481073e-02 2.031155e-02
2.350000e+00 1.498785e-02 2.039423e-02
2.360000e+00 1.516703e-02 2.047694e-02
2.370000e+00 1.534819e-02 2.055967e-02
2.380000e+00 1.553127e-02 2.064243e-02
2.390000e+00 1.571620e-02 2.072522e-02
2.400000e+00 1.590291e-02 2.080804e-02
2.410000e+00 1.609129e-02 2.089090e-02
2.420000e+00 1.628125e-02 2.097380e-02
2.430000e+00 1.647267e-02 2.105673e-02
2.440000e+00 1.666543e-02 2.113971e-02
2.450000e+00 1.685941e-02 2.122273e-02
2.460000e+00 1.705445e-02 2.130579e-02
2.470000e+00 1.725040e-02 2.138890e-02
2.480000e+00 1.744709e-02 2.147206e-02
2.490000e+00 1.764434e-02 2.155527e-02
2.500000e+00 1.784196e-02 2.163853e-02
2.510000e+00 1.803973e-02 2.172184e-02
2.520000e+00 1.823746e-02 2.180522e-02
2.530000e+00 1.843489e-02 2.188864e-02
2.540000e+00 1.863180e-02 2.197213e-02
2.550000e+00 1.882791e-02 2.205568e-02
2.560000e+00 1.902298e-02 2.213930e-02
2.570000e+00 1.921671e-02 2.222298e-02
2.580000e+00 1.940883e-02 2.230672e-02
2.590000e+00 1.959902e-02 2.239054e-02
2.600000e+00 1.978699e-02 2.247442e-02
2.610000e+00 1.997242e-02 2.255838e-02
2.620000e+00 2.015499e-02 2.264241e-02
2.630000e+00 2.033436e-02 2.272652e-02
2.640000e+00 2.051022e-02 2.281070e-02
2.650000e+00 2.068223e-02 2.289496e-02
2.660000e+00 2.085006e-02 2.297931e-02
2.670000e+00 2.101337e-02 2.306373e-02
2.680000e+00 2.117184e-02 2.314824e-02
2.690000e+00 2.132516e-02 2.323283e-02
2.700000e+00 2.147301e-02 2.331750e-02
2.710000e+00 2.161508e-02 2.340227e-02
2.720000e+00 2.175110e-02 2.348712e-02
2.730000e+00 2.188077e-02 2.357207e-02
2.740000e+00 2.200386e-02 2.365710e-02
2.750000e+00 2.212012e-02 2.374223e-02
2.760000e+00 2.222932e-02 2.382745e-02
2.770000e+00 2.233128e-02 2.391276e-02
2.780000e+00 2.242582e-02 2.399818e-02
2.790000e+00 2.251280e-02 2.408368e-02
2.800000e+00 2.259210e-02 2.416929e-02
2.810000e+00 2.266362e-02 2.425500e-02
2.820000e+00 2.272729e-02 2.434080e-02
2.830000e+00 2.278309e-02 2.442671e-02
2.840000e+00 2.283100e-02 2.451272e-02
2.850000e+00 2.287104e-02 2.459883e-02
2.860000e+00 2.290326e-02 2.468504e-02
2.870000e+00 2.292773e-02 2.477136e-02
2.880000e+00 2.294455e-02 2.485778e-02
2.890000e+00 2.295385e-02 2.494431e-02
2.900000e+00 2.295578e-02 2.503094e-02
2.910000e+00 2.295050e-02 2.511768e-02
2.920000e+00 2.293820e-02 2.520453e-02
2.930000e+00 2.291909e-02 2.529148e-02
2.940000e+00 2.289341e-02 2.537854e-02
2.950000e+00 2.286138e-02 2.546571e-02
2.960000e+00 2.282326e-02 2.555299e-02
2.970000e+00 2.277932e-02 2.564037e-02
2.980000e+00 2.272981e-02 2.572787e-02
2.990000e+00 2.267503e-02 2.581547e-02
3.000000e+00 2.261526e-02 2.590318e-02
3.010000e+00 2.255077e-02 2.599099e-02
3.020000e+00 2.248187e-02 2.607892e-02
3.030000e+00 2.240883e-02 2.616695e-02
3.040000e+00 2.233194e-02 2.625509e-02
3.050000e+00 2.225149e-02 2.634334e-02
3.060000e+00 2.216775e-02 2.643170e-02
3.070000e+00 2.208100e-02 2.652016e-02
3.080000e+00 2.199151e-02 2.660873e-02
3.090000e+00 2.189953e-02 2.669741e-02
3.100000e+00 2.180532e-02 2.678619e-02
3.110000e+00 2.170913e-02 2.687507e-02
3.120000e+00 2.161119e-02 2.696406e-02
3.130000e+00 2.151172e-02 2.705316e-02
3.140000e+00 2.141095e-02 2.714235e-02
3.150000e+00 2.130909e-02 2.723165e-02
3.160000e+00 2.120632e-02 2.732105e-02
3.170000e+00 2.110285e-02 2.741055e-02
3.180000e+00 2.099884e-02 2.750014e-02
3.190000e+00 2.089448e-02 2.758984e-02
3.200000e+00 2.078992e-02 2.767963e-02
3.210000e+00 2.068530e-02 2.776952e-02
3.220000e+00 2.058078e-02 2.785950e-02
3.230000e+00 2.047648e-02 2.794957e-02
3.240000e+00 2.037253e-02 2.803974e-02
3.250000e+00 2.026904e-02 2.813000e-02
3.260000e+00 2.016613e-02 2.822034e-02
3.270000e+00 2.006388e-02 2.831077e-02
3.280000e+00 1.996241e-02 2.840129e-02
3.290000e+00 1.986178e-02 2.849189e-02
3.300000e+00 1.976209e-02 2.858258e-02
3.310000e+00 1.966340e-02 2.867335e-02
3.320000e+00 1.956578e-02 2.876419e-02
3.330000e+00 1.946929e-02 2.885511e-02
3.340000e+00 1.937399e-02 2.894611e-02
3.350000e+00 1.927992e-02 2.903718e-02
3.360000e+00 1.918715e-02 2.912832e-02
3.370000e+00 1.909569e-02 2.921953e-02
3.380000e+00 1.900560e-02 2.931081e-02
3.390000e+00 1.891690e-02 2.940216e-02
3.400000e+00 1.882963e-02 2.949357e-02
3.410000e+00 1.874381e-02 2.958503e-02
3.420000e+00 1.865947e-02 2.967656e-02
3.430000e+00 1.857661e-02 2.976815e-02
3.440000e+00 1.849527e-02 2.985978e-02
3.450000e+00 1.841546e-02 2.995147e-02
3.460000e+00 1.833718e-02 3.004321e-02
3.470000e+00 1.826045e-02 3.013500e-02
3.480000e+00 1.818528e-02 3.022683e-02
3.490000e+00 1.811166e-02 3.031870e-02
3.500000e+00 1.803962e-02 3.041061e-02
3.510000e+00 1.796914e-02 3.050256e-02
3.520000e+00 1.790023e-02 3.059454e-02
3.530000e+00 1.783289e-02 3.068656e-02
3.540000e+00 1.776712e-02 3.077860e-02
3.550000e+00 1.770292e-02 3.087067e-02
3.560000e+00 1.764028e-02 3.096276e-02
3.570000e+00 1.757919e-02 3.105487e-02
3.580000e+00 1.751967e-02 3.114700e-02
3.590000e+00 1.746169e-02 3.123915e-02
3.600000e+00 1.740525e-02 3.133130e-02
